TestCase	TestPoints
1 50
1 514
1 88
1 401
1 1086
1 933
1 397
1 354
1 759
1 1083
1 821
1 439
1 307
1 628
1 407
1 509
1 283
1 290
1 1093
1 241
1 960
1 954
1 778
1 263
1 859
1 839
1 163
2 562
2 225
2 139
2 1151
2 183
2 196
2 1023
2 584
2 346
2 385
2 352
2 467
2 159
2 30
2 278
2 972
2 1194
2 1018
2 833
2 166
2 855
2 1105
2 1019
2 529
2 262
2 504
2 330
2 457
2 723
2 486
2 690
2 571
2 1156
2 928
2 710
2 324
2 347
2 1039
2 430
2 295
2 1051
2 703
2 949
2 1035
2 296
2 167
2 490
2 655
2 1111
2 1040
2 550
2 827
2 436
2 13
2 260
2 915
2 68
2 1117
2 603
2 670
2 501
2 724
2 916
2 605
2 968
2 558
2 453
2 203
2 691
3 916
3 1071
3 253
3 661
3 152
3 611
3 979
3 365
3 473
3 266
3 735
3 648
3 203
3 462
3 974
3 1130
3 1040
3 280
3 1139
3 607
3 535
3 862
3 296
3 129
3 767
3 1030
3 2
3 1059
3 812
3 409
3 687
3 1098
3 1188
3 179
3 1119
3 780
3 727
3 439
3 301
3 384
3 345
3 655
3 1112
3 1109
3 766
3 465
3 1170
3 527
3 912
3 638
3 132
4 1184
4 1124
4 716
4 132
4 519
4 1027
4 836
4 607
5 1132
5 432
5 1072
5 547
5 468
5 708
5 495
5 1111
5 345
5 591
5 789
5 997
5 460
5 216
5 800
5 526
5 60
5 1188
5 230
5 794
5 596
5 17
5 903
5 180
5 138
5 355
5 475
5 948
5 744
6 314
6 1018
6 1127
6 201
6 394
6 1060
7 175
7 899
7 156
8 800
8 207
8 449
8 883
8 1173
8 381
8 497
8 322
8 281
8 980
8 176
8 221
8 912
8 420
8 1047
8 804
8 577
8 905
8 716
8 1098
8 706
8 649
8 1145
8 240
8 878
8 493
8 204
8 832
8 102
8 700
8 235
8 374
8 417
8 690
8 33
8 168
8 465
8 1055
8 137
8 535
8 100
8 428
8 534
8 77
1 1117
1 796
1 461
1 738
1 2
1 135
1 416
1 44
1 496
1 1191
1 694
1 1092
1 386
1 1107
1 718
1 131
1 1070
1 488
1 1121
1 548
1 258
1 173
1 1071
1 1063
1 630
1 689
1 583
1 597
1 766
1 287
1 467
1 349
1 559
1 1075
1 206
1 765
1 363
1 871
1 275
1 716
1 315
1 39
1 371
1 100
1 152
1 1011
1 482
1 286
1 837
1 914
1 991
1 950
1 925
2 463
2 93
2 132
2 702
2 996
2 812
2 269
2 25
2 879
2 918
2 1000
2 183
2 239
2 759
2 133
2 139
2 308
2 937
3 475
3 709
3 677
3 716
3 1024
3 1066
3 118
3 1101
3 441
3 679
3 953
3 355
3 1102
3 758
3 176
3 625
3 482
3 288
3 982
3 1012
3 818
3 1015
3 366
3 524
3 1019
3 531
3 452
3 133
3 584
3 871
3 661
3 929
3 440
3 463
3 330
3 755
3 1118
3 569
3 766
3 219
3 130
3 45
3 1009
3 105
3 421
3 362
3 1094
3 800
3 466
3 782
3 1031
3 296
3 1007
3 49
3 1016
3 256
3 19
3 559
3 1097
3 478
3 178
3 656
4 1012
4 643
4 22
4 503
4 241
4 834
4 930
4 700
4 81
4 114
4 596
4 691
4 1027
4 1130
4 1069
4 737
4 1029
4 192
4 530
4 33
4 1037
4 100
4 831
4 393
4 1078
4 387
4 934
4 440
4 693
4 523
4 19
4 492
4 360
4 430
4 381
4 1088
4 778
4 960
4 619
4 146
4 277
4 11
5 402
5 468
5 770
5 948
5 214
5 36
5 386
5 673
5 426
5 695
5 1031
5 21
5 1188
5 95
5 780
5 936
5 222
5 1146
5 228
5 831
5 223
5 751
5 408
5 1162
5 1
5 1195
5 1094
5 261
5 1145
5 898
5 437
5 530
5 481
5 1040
5 867
5 841
5 961
5 58
5 366
5 166
5 601
5 1027
5 107
5 304
5 557
5 26
5 38
5 586
5 428
5 289
5 1110
5 1090
5 888
5 316
5 55
5 968
6 915
6 252
6 1144
6 408
6 734
6 713
6 911
6 1101
6 1072
6 686
6 205
6 199
6 503
6 582
6 496
6 638
6 5
6 26
6 391
6 1124
6 1140
6 820
6 623
6 777
6 363
6 799
6 876
6 1038
6 60
6 714
6 550
6 305
6 390
6 939
6 151
6 192
6 1050
6 1095
6 1030
6 544
6 627
6 1027
6 519
6 145
6 778
6 562
7 402
7 1044
7 729
7 234
7 552
7 97
8 439
8 55
8 29
8 368
8 807
8 1014
8 226
8 1090
8 167
8 53
8 663
8 963
8 102
8 570
8 249
8 43
8 629
8 134
8 260
8 381
8 11
8 935
8 477
8 81
8 322
8 374
8 384
8 1117
8 1025
8 737
8 386
8 599
8 195
8 402
8 291
8 801
8 639
8 689
8 704
8 600
8 268
8 938
8 272
8 1098
8 218
8 175
8 573
8 1171
8 307
8 130
8 41
8 504
8 652
8 415
9 191
9 581
9 334
9 306
9 788
9 1085
9 479
9 793
9 255
9 394
9 157
9 10
9 102
9 1007
9 262
9 459
9 83
9 365
9 1125
9 146
9 193
9 35
9 122
9 1043
9 924
9 993
9 405
9 526
9 992
9 963
9 486
9 755
9 805
9 672
9 1116
9 235
9 516
9 761
9 633
9 65
9 1162
9 887
9 962
9 206
9 101
9 1069
9 1199
9 686
9 421
9 74
9 1193
9 33
9 667
9 601
9 1179
9 294
9 740
9 1015
9 1100
9 419
9 24
9 621
9 569
9 286
10 1120
10 889
10 159
10 883
10 100
10 511
10 564
10 23
10 383
10 395
10 212
10 424
10 483
10 954
10 747
10 318
10 137
10 571
10 1021
10 900
10 554
10 1138
10 67
10 266
10 979
10 63
10 1066
10 983
10 543
10 1040
10 510
10 978
10 881
10 376
10 50
10 448
10 123
10 76
10 936
10 489
10 1159
10 981
10 179
10 269
10 1133
10 138
10 95
10 776
10 364
10 637
10 1074
10 257
10 446
10 91
10 165
10 267
10 15
10 404
10 635
10 892
10 208
10 947
10 786
10 874
11 192
11 106
11 741
11 19
11 194
11 12
11 896
11 659
11 690
11 711
11 202
11 852
11 305
11 104
11 1079
11 720
11 613
11 581
11 301
11 475
11 222
11 1174
11 1003
11 828
11 647
11 320
11 867
11 1176
11 553
12 1017
12 140
12 105
12 976
12 1107
12 935
12 577
12 217
12 1088
12 1123
12 715
12 693
12 149
12 622
12 1082
12 751
12 130
12 425
12 275
12 666
12 1172
12 588
12 537
12 10
12 723
12 115
12 1031
12 1043
12 1051
12 394
12 965
12 109
12 1129
12 688
12 606
12 145
12 747
12 459
12 1048
12 914
12 442
12 696
12 114
12 1162
12 131
12 317
12 1036
12 480
12 1104
12 1197
12 336
12 563
12 1142
12 262
13 70
13 664
13 299
13 789
13 424
13 152
14 910
14 510
14 461
14 665
14 434
14 160
14 49
14 257
14 476
14 621
14 1009
14 870
14 713
14 459
14 984
14 1107
14 668
14 31
14 309
14 1007
14 1198
14 261
14 680
14 1069
14 323
15 972
15 245
15 743
15 290
15 846
15 331
15 919
15 280
15 379
15 489
15 732
15 81
15 616
15 734
15 161
15 813
15 363
15 2
15 838
15 1100
15 1079
15 773
15 462
15 832
15 997
15 115
15 1187
15 724
15 557
15 86
15 1034
15 3
15 564
15 56
15 1184
15 790
15 559
15 626
15 947
15 622
15 374
15 710
15 29
15 826
15 116
15 198
15 5
15 155
15 96
15 909
15 960
15 1060
15 406
15 598
15 808
15 596
15 542
15 66
15 483
16 1187
16 663
16 236
16 1157
16 277
16 1108
16 792
16 962
16 84
16 903
16 804
16 274
16 532
16 571
16 781
16 1066
16 1149
16 814
16 492
16 165
16 418
16 720
16 924
16 484
16 156
16 151
16 297
16 38
16 483
16 944
16 311
16 386
16 272
16 508
16 337
16 578
16 584
16 235
16 969
16 739
16 599
16 302
16 83
16 470
16 41
16 863
16 654
16 967
16 1165
16 451
16 45
16 974
16 533
16 323
16 299
16 778
17 505
17 15
17 359
17 336
17 979
17 1098
17 107
17 1047
17 183
17 1181
17 898
17 239
17 724
17 136
17 100
17 854
17 608
17 237
17 512
17 348
17 1123
17 579
17 936
17 334
17 63
17 39
17 344
17 543
17 651
17 764
17 804
17 551
17 907
17 259
17 205
17 246
17 950
17 415
17 273
17 162
17 590
17 650
17 349
17 662
17 884
17 923
17 714
17 446
17 324
17 215
17 598
17 654
17 1166
17 99
18 901
18 711
18 707
18 978
18 165
18 764
18 845
18 206
18 50
18 934
18 1081
18 518
18 39
18 1017
18 728
18 130
18 975
18 806
18 461
18 855
18 983
18 1137
18 44
18 1029
18 253
18 701
18 430
18 221
18 692
18 1170
18 1022
18 688
18 120
18 1089
18 243
18 947
18 312
18 814
18 1050
18 303
18 549
18 908
18 496
18 132
18 533
18 167
18 89
18 1118
18 916
18 1003
18 64
18 264
18 610
18 315
18 60
18 1056
18 1082
18 425
18 548
18 776
18 356
19 555
19 235
19 329
19 413
19 85
19 486
19 759
19 336
19 1197
19 517
19 41
19 325
19 1013
20 1061
20 407
20 680
20 884
20 815
20 38
20 780
20 1152
20 827
20 604
20 323
20 267
20 1120
20 13
20 288
20 1008
20 840
20 1168
20 742
20 148
20 131
20 964
20 156
20 516
20 315
20 897
20 573
20 71
20 690
20 61
20 524
20 560
21 871
21 885
21 867
22 499
22 783
22 513
22 241
22 994
22 1021
22 786
22 211
22 526
22 836
22 685
22 624
22 671
22 902
22 839
22 579
23 781
23 1094
23 796
23 674
23 979
23 208
23 89
23 859
23 302
23 1013
23 1088
23 235
23 905
23 597
23 104
23 380
23 1181
23 288
23 424
23 947
23 320
23 1065
23 1191
23 430
23 820
23 982
23 227
23 13
23 1167
23 774
23 397
23 1019
23 186
23 767
23 1153
23 1047
23 1155
23 723
23 803
23 1139
23 686
23 718
23 261
23 936
23 24
23 879
23 549
23 212
23 891
23 384
23 577
23 846
23 1057
23 99
23 260
23 829
23 83
23 766
23 901
23 695
23 1157
23 210
23 185
23 276
23 124
24 16
24 164
24 692
24 570
24 815
24 48
24 969
24 882
24 70
24 259
24 66
24 304
24 781
24 615
24 599
24 210
24 891
24 264
24 531
24 929
24 1033
24 582
24 884
24 1035
24 940
24 15
24 583
24 862
24 56
24 609
24 141
24 1024
24 279
24 657
24 691
24 776
24 270
24 17
25 86
25 7
25 866
26 1157
26 1126
27 984
27 1197
27 791
27 594
27 1051
27 5
27 663
27 475
27 201
27 374
27 171
27 1152
27 141
27 539
27 1200
27 965
27 1030
27 181
27 300
27 307
27 90
27 1198
27 240
27 253
27 237
27 190
27 443
28 377
28 1076
28 840
28 72
28 471
28 1031
28 771
29 351
29 66
29 604
29 763
29 154
29 1175
29 1130
29 1145
29 278
29 656
29 300
29 818
29 547
29 899
29 1146
29 1133
29 731
29 81
29 699
29 166
29 927
29 108
29 224
29 223
29 268
29 99
29 205
29 999
29 492
29 987
29 824
29 388
29 504
29 651
29 352
29 939
29 1060
29 1074
29 430
29 674
29 955
30 1111
30 640
30 565
30 368
30 165
30 62
30 878
31 460
31 128
31 69
31 5
31 624
31 1186
31 1064
31 939
31 919
31 369
31 615
31 262
31 587
31 102
31 8
31 1113
31 683
32 454
32 604
32 784
32 4
32 278
32 736
32 424
32 1086
32 1193
32 976
32 496
32 360
32 39
32 291
32 946
32 259
32 942
32 254
32 248
32 272
32 1078
32 597
32 556
32 1018
32 992
32 194
32 463
32 988
32 1035
32 494
32 1026
32 915
32 770
32 29
32 1188
32 766
32 789
32 71
32 856
32 339
32 306
32 800
32 802
32 11
32 129
32 1064
32 846
32 429
32 121
32 414
32 396
32 376
32 1138
32 32
32 348
32 634
32 136
33 1155
33 366
33 712
33 189
33 215
33 114
33 986
33 375
33 1197
33 70
33 908
33 143
34 673
34 295
34 466
34 877
34 589
34 303
34 649
34 802
35 444
35 443
35 128
35 881
35 16
35 272
35 538
35 950
35 661
35 864
35 731
35 545
35 1172
35 857
35 96
35 494
35 996
35 959
36 1184
36 910
36 238
36 200
37 921
37 908
37 103
37 465
37 998
37 442
37 1187
37 1078
37 618
37 1080
37 343
37 92
37 1139
37 104
37 250
37 1091
37 217
37 650
37 780
37 1075
37 167
37 1023
37 427
37 659
37 730
37 1040
37 894
37 367
